Year,State_Abbreviation,State,Population,Violent_Crime,Homicide,Rape,Robbery,Aggravated_Assault,Property_Crime,Burglary
1983,NY,New York,17667000,161489,1958,5296,94783,59452,881322,249115
1983,OH,Ohio,10746000,42759,600,3387,17132,21640,441362,124179
1983,OK,Oklahoma,3298000,13964,249,1247,4245,8223,148599,49782
1983,OR,Oregon,2662000,12986,109,1078,4533,7266,153412,46472
1983,PA,Pennsylvania,11895000,40782,583,2449,20501,17249,339321,96425
1983,RI,Rhode Island,955000,3392,26,160,1078,2128,44410,12722
1983,SC,South Carolina,3264000,20133,321,1144,3425,15243,135590,42263
1983,SD,South Dakota,700000,840,15,119,111,595,16993,3820
1983,TN,Tennessee,4685000,18836,410,1682,8094,8650,169110,56498
1983,TX,Texas,15724000,80546,2239,6333,29769,42205,848312,262198
1983,UT,Utah,1619000,4144,56,403,1041,2644,78715,16446
1983,VA,Virginia,5550000,16236,387,1370,6132,8347,203632,51055
1983,VT,Vermont,525000,696,19,214,146,317,21001,5724
1983,WA,Washington,4300000,15986,212,1923,4533,9318,245357,70526
1983,WI,Wisconsin,4751000,9070,131,861,3415,4663,193118,41980
1983,WV,West Virginia,1965000,3375,96,263,869,2147,44158,13455
1983,WY,Wyoming,514000,1219,30,110,153,926,19412,3626
1984,AK,Alaska,500000,3108,58,458,547,2045,27468,6184
1984,AL,Alabama,3990000,17204,374,1002,3833,11995,138487,39970
1984,AR,Arkansas,2349000,7549,176,697,1587,5089,71554,20810
1984,AZ,Arizona,3053000,15756,238,1316,4003,10199,182670,52327
1984,CA,California,25622000,195589,2717,11702,83924,97246,1461731,443094
1984,CO,Colorado,3178000,14548,184,1238,3623,9503,191104,49619
1984,CT,Connecticut,3154000,12422,122,759,6009,5532,133573,35607
1984,DC,District of Columbia,623000,10725,175,366,6087,4097,42799,10954
1984,DE,Delaware,613000,2671,25,300,711,1635,28021,6678
1984,FL,Florida,10976000,95270,1264,5570,30311,58125,653429,198446
1984,GA,Georgia,5837000,27935,546,2356,8414,16619,234621,70310
1984,HI,Hawaii,1039000,2409,34,314,1204,857,54573,12609
1984,IA,Iowa,2910000,5781,59,375,1114,4233,104785,25357
1984,ID,Idaho,1001000,2355,34,187,244,1890,34398,8751
1984,IL,Illinois,11511000,83441,1033,3594,34965,43849,527124,135068
1984,IN,Indiana,5498000,16781,303,1372,5435,9671,199258,51019
1984,KS,Kansas,2438000,8147,89,669,1745,5644,97646,25577
1984,KY,Kentucky,3723000,10342,244,826,2631,6641,99803,29234
1984,LA,Louisiana,4462000,30251,575,1864,8501,19311,197778,54711
1984,MA,Massachusetts,5798000,30362,211,1627,10122,18402,235675,63756
1984,MD,Maryland,4349000,34455,354,1640,13097,19364,192325,51484
1984,ME,Maine,1156000,1832,20,155,305,1352,38944,10267
1984,MI,Michigan,9075000,68979,879,5880,27832,34388,525979,149209
1984,MN,Minnesota,4162000,8802,74,1051,2960,4717,151082,41242
1984,MO,Missouri,5008000,23071,358,1325,7053,14335,192123,55863
1984,MS,Mississippi,2598000,7326,252,715,1572,4787,72169,25464
1984,MT,Montana,824000,1958,36,170,226,1526,36380,7070
1984,NC,North Carolina,6165000,24885,539,1330,4612,18404,224437,69747
1984,ND,North Dakota,686000,368,8,90,53,217,17354,2738
1984,NE,Nebraska,1606000,3627,54,381,693,2499,52526,10339
1984,NH,New Hampshire,977000,1308,10,202,227,869,29347,7190
1984,NJ,New Jersey,7515000,39659,402,2446,18218,18593,325231,79871
1984,NM,New Mexico,1424000,9798,130,783,1856,7029,79108,23349
1984,NV,Nevada,911000,5726,98,553,2542,2533,54045,18023
1984,NY,New York,17735000,162157,1786,5599,89900,64872,826969,222956
1984,OH,Ohio,10752000,41430,551,3734,15656,21489,418011,112887
1984,OK,Oklahoma,3298000,13438,258,1315,3668,8197,147917,47979
1984,OR,Oregon,2674000,13533,128,1201,4508,7696,153423,48755
1984,PA,Pennsylvania,11901000,38154,538,2764,17656,17196,325960,88517
1984,RI,Rhode Island,962000,3220,33,205,1091,1891,42706,11396
